long_name,overall,age,height_cm,weight_kg,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
diego da silva costa,86,28,186,87,3,75,83,65,76,40,88,65,88,83,67,81,77,62,59,52,83,74,75,58,86,52,84,64,83,91,73,93,40,88,74,76,84,28,39,34,11,13,12,8,11,0
david luiz moreira marinho,86,30,189,84,3,70,64,74,71,84,81,68,55,83,79,64,66,70,76,78,79,68,71,72,79,56,77,80,76,81,71,86,87,54,69,75,78,80,85,84,11,12,10,7,14,0
toby alderweireld,86,28,187,91,2,66,58,72,65,87,80,64,45,82,77,38,62,63,69,81,70,62,69,60,86,50,86,81,76,82,66,81,84,56,67,60,81,89,90,85,16,6,14,16,14,0
marco reus,86,28,180,75,4,88,87,84,86,39,64,80,86,49,86,88,86,90,84,80,85,86,90,86,87,81,87,72,68,67,88,49,50,86,86,87,83,30,36,46,12,12,13,13,11,0
philippe coutinho correia,86,25,171,68,4,82,78,83,88,35,64,77,74,47,85,75,88,84,82,78,88,88,77,92,81,92,80,59,80,61,86,55,30,83,87,64,85,24,44,40,12,7,9,14,6,0
sergio busquets burgos,86,28,189,76,3,40,59,79,74,82,81,62,60,68,88,44,74,66,68,79,80,48,34,58,82,55,61,66,88,77,54,85,86,77,84,60,88,81,85,80,5,8,13,9,13,0
thomas muller,86,27,186,75,3,77,82,77,78,46,71,77,87,82,81,83,75,81,59,68,82,76,78,76,92,72,77,81,90,67,77,57,58,93,81,60,83,31,41,44,6,7,11,14,14,0
alex sandro lobo silva,86,26,181,81,3,86,65,77,81,81,84,86,55,76,81,68,82,78,59,71,81,84,88,79,86,79,80,79,93,80,72,82,82,70,70,60,82,78,84,84,7,7,9,12,5,0
romelu lukaku,86,24,190,94,3,83,85,70,74,34,84,68,89,87,71,76,77,72,66,68,75,76,89,62,85,47,88,71,80,93,75,72,27,87,73,82,84,27,30,30,8,15,14,7,10,0
david alaba,86,25,180,76,3,86,73,81,80,82,74,82,63,75,83,68,79,78,85,80,83,86,86,79,84,77,83,82,87,69,83,69,85,77,78,80,79,81,83,83,5,7,14,15,9,0
francisco roman alarcon suarez,86,25,176,74,4,71,83,82,89,54,62,72,88,55,86,64,90,86,74,85,91,74,69,83,79,85,72,64,71,59,87,58,70,83,84,76,86,25,73,51,10,8,12,15,6,0
james rodriguez,86,25,180,75,4,76,85,85,83,40,68,88,82,62,84,91,83,87,86,80,85,77,75,82,84,75,86,54,68,70,91,65,55,80,86,81,87,25,42,30,15,15,15,5,14,0
harry kane,86,23,188,86,3,71,87,72,78,42,83,70,90,83,75,73,78,71,66,67,82,68,74,73,87,62,87,70,85,86,84,74,35,89,75,84,84,41,36,38,8,10,11,14,11,0
andrea barzagli,85,36,187,87,2,71,34,57,64,88,73,40,21,72,65,35,64,50,31,65,65,64,76,51,80,64,54,85,46,87,39,70,92,28,62,60,82,90,90,88,4,2,4,2,4,0
vincent kompany,85,31,193,85,2,63,54,65,64,84,83,61,45,84,72,46,63,61,52,66,68,61,64,60,84,42,75,71,74,88,55,87,80,41,59,63,81,84,85,84,10,9,5,8,6,0
filipe luis kasmirski,85,31,182,73,3,79,62,77,77,82,79,84,59,68,78,56,77,74,75,77,81,75,82,74,83,60,71,63,91,74,60,81,82,71,70,65,88,85,83,86,11,15,9,9,5,0
stephane ruffier,85,30,188,93,1,0,0,0,0,0,0,11,11,12,33,13,12,17,12,34,15,45,50,51,78,55,21,72,37,76,11,31,25,12,49,25,57,11,12,11,82,84,77,85,87,48
blaise matuidi,85,30,175,70,2,78,67,77,75,83,84,75,65,73,84,72,73,65,52,79,77,79,78,76,84,79,74,84,94,78,66,85,85,68,75,56,82,83,84,81,8,11,5,10,14,0
jan vertonghen,85,30,189,88,2,67,65,73,70,85,81,68,56,81,79,52,69,58,73,74,74,68,66,62,82,55,86,83,79,81,68,83,86,60,68,68,81,84,86,86,6,10,9,12,7,0
claudio marchisio,85,31,180,73,4,78,72,83,84,76,74,76,61,68,87,76,84,78,78,85,85,78,78,81,86,79,82,68,81,70,82,78,80,80,84,78,84,72,78,80,4,3,4,2,4,0
miralem pjanic,85,27,180,70,4,74,71,86,86,67,69,80,61,60,89,72,86,86,91,85,89,74,74,79,84,79,78,61,78,65,82,68,74,70,88,79,84,62,70,66,7,7,13,7,8,0
angel di maria,85,29,180,75,5,86,77,82,86,47,68,85,74,53,83,77,86,78,72,79,85,86,86,92,80,79,83,72,78,60,77,73,38,82,81,73,82,37,59,56,10,7,11,12,11,0
cesar azpilicueta tanco,85,27,178,78,3,79,55,75,74,86,78,78,46,76,80,51,69,66,58,74,79,78,79,75,86,73,68,76,88,73,60,80,85,62,68,66,78,87,88,87,13,9,10,6,5,0
ilkay gundogan,85,26,180,80,4,71,74,83,87,64,71,74,72,49,88,75,87,81,74,83,88,73,70,83,87,81,77,62,71,74,74,68,79,79,87,76,86,57,67,64,11,14,5,5,13,0
jordi alba ramos,85,28,170,68,3,93,69,75,82,81,72,82,73,63,79,60,80,77,64,70,83,93,93,90,82,86,64,81,90,60,66,75,83,77,68,59,75,81,84,83,13,15,13,6,13,0
kamil glik,85,29,190,80,2,56,32,44,53,86,84,29,27,85,63,17,51,35,26,59,59,53,58,34,79,55,57,82,72,90,20,86,87,24,23,39,79,85,87,83,10,14,5,8,10,0
marc andre ter stegen,85,25,187,85,1,0,0,0,0,0,0,15,14,11,30,14,17,18,12,38,18,38,50,37,82,43,22,79,35,79,10,43,22,11,57,25,62,10,13,10,84,83,87,81,86,45
bernd leno,85,25,190,83,1,0,0,0,0,0,0,9,9,13,37,10,16,9,8,33,22,46,52,52,81,44,23,73,43,68,14,28,22,7,53,23,62,8,15,18,85,84,74,85,83,49
danijel subasic,85,32,191,84,1,0,0,0,0,0,0,11,10,13,24,13,11,24,66,26,19,51,54,42,82,37,24,75,32,80,14,31,20,15,52,23,65,15,14,13,84,79,79,85,87,53
henrikh mkhitaryan,85,28,177,75,4,86,79,80,87,54,70,79,77,53,84,81,87,83,64,72,87,88,84,89,82,85,87,71,86,63,75,69,64,82,85,72,79,49,53,55,5,11,14,5,7,0
keylor navas,85,30,185,78,1,0,0,0,0,0,0,11,15,11,30,11,16,11,15,37,19,54,53,60,82,61,21,74,39,75,13,32,20,16,54,25,49,12,14,14,87,82,72,80,85,53
alexandre lacazette,85,26,175,73,4,86,83,71,85,38,77,64,87,72,79,82,85,74,71,59,84,84,87,87,85,84,81,76,80,79,76,70,40,87,74,84,86,23,42,30,11,6,9,5,6,0
lorenzo insigne,85,26,163,59,4,90,74,82,89,25,50,83,73,56,83,74,88,83,77,73,90,94,86,96,80,93,70,53,75,44,80,34,26,83,87,61,78,16,24,22,8,4,14,9,10,0
carlos henrique venancio casimiro,85,25,184,80,2,62,68,74,72,84,86,52,59,74,82,53,69,59,74,84,78,63,61,66,83,57,86,87,85,85,77,87,86,66,76,66,86,83,87,86,13,14,16,12,12,0
raphael varane,85,24,191,78,2,79,45,61,64,84,79,36,40,83,75,42,57,46,54,76,77,77,81,58,81,47,52,80,68,85,53,77,82,44,56,43,82,84,86,85,11,11,9,5,14,0
yannick carrasco,85,23,180,67,4,88,79,78,88,29,63,80,79,53,79,68,91,81,78,74,86,87,89,91,83,71,84,68,73,59,75,61,18,82,74,74,75,19,39,26,9,11,9,10,10,0
aritz aduriz zubeldia,84,36,182,78,3,70,83,64,76,46,79,54,85,94,71,84,79,61,54,52,80,69,70,53,85,57,83,94,64,83,80,82,23,86,73,75,87,46,44,49,14,10,9,15,9,0
alejandro gomez,84,29,165,68,4,90,77,80,89,31,58,82,78,36,82,72,89,78,71,72,87,94,86,92,83,94,76,70,78,48,78,56,40,81,85,71,84,24,30,34,8,11,12,9,6,0
daniel alves da silva,84,34,172,68,3,82,68,81,85,77,66,86,55,72,83,68,84,80,74,77,86,79,84,85,79,87,86,80,76,55,78,78,81,74,78,70,82,73,79,83,5,11,9,6,7,0
gary cahill,84,31,193,86,2,63,58,52,61,84,78,28,56,86,65,47,58,48,27,61,63,62,63,62,85,51,63,82,69,80,66,84,83,45,56,53,75,84,85,84,5,12,9,5,12,0
laurent koscielny,84,31,186,75,2,75,41,62,65,85,78,52,32,81,76,35,62,22,49,69,67,74,76,68,82,62,54,82,75,76,47,88,86,39,56,51,75,83,87,84,13,11,9,11,7,0
radamel falcao garcia zarate,84,31,177,72,3,69,84,68,78,37,74,55,87,90,78,84,74,83,71,58,82,73,66,85,82,75,79,92,68,75,80,75,41,85,68,84,87,16,42,19,10,13,6,9,5,0
dimitri payet,84,30,175,77,4,75,78,86,87,37,70,86,76,59,86,79,89,90,91,84,90,79,72,79,76,81,78,48,73,76,83,57,37,79,87,76,86,29,36,39,11,15,9,14,12,0
medhi benatia,84,30,190,92,2,74,42,54,64,85,82,45,45,80,65,31,64,34,27,65,65,72,76,59,78,51,59,82,68,89,24,82,84,38,47,41,78,86,86,84,7,4,8,7,11,0
juan manuel mata garcia,84,29,170,63,3,67,76,84,84,32,54,84,79,59,86,71,82,84,84,77,87,71,63,85,84,89,75,72,75,43,70,52,39,83,87,81,85,25,28,21,9,10,14,5,8,0
sergio asenjo andres,84,28,189,87,1,0,0,0,0,0,0,24,14,13,39,22,15,23,22,39,14,59,54,62,79,58,24,73,43,73,23,20,22,12,46,15,39,12,15,14,86,83,76,82,85,56
ralf fahrmann,84,28,196,95,1,0,0,0,0,0,0,14,11,15,25,11,15,18,11,26,24,38,47,39,84,36,24,72,32,79,9,36,23,11,42,21,61,12,12,10,83,86,52,85,87,43
sami khedira,84,30,189,89,2,64,74,80,76,80,84,72,69,76,85,76,78,68,68,81,81,60,68,59,86,52,82,68,78,89,78,82,86,80,82,69,84,76,82,78,11,9,5,15,8,0
willian borges da silva,84,28,175,77,4,88,76,81,86,49,64,77,77,29,82,59,87,82,85,77,86,91,86,89,83,81,71,46,87,62,81,44,55,80,83,70,79,43,58,51,14,12,13,7,13,0
edin dzeko,84,31,193,84,2,64,83,70,74,32,72,63,87,84,77,77,76,65,54,72,80,67,61,57,83,36,86,66,70,82,73,51,50,89,70,67,79,11,28,16,9,11,13,15,15,0
ivan perisic,84,28,186,79,4,84,80,78,82,42,75,84,79,78,78,80,83,73,76,72,83,81,87,78,80,67,83,82,86,75,80,59,42,84,78,76,80,26,45,45,6,7,10,9,6,0
bruno soriano llido,84,33,184,73,3,41,72,79,75,78,77,60,66,61,87,48,75,72,77,86,83,42,41,53,84,59,84,66,76,77,81,79,85,69,83,75,86,70,84,85,13,10,9,11,8,0
roman burki,84,26,187,85,1,0,0,0,0,0,0,15,8,17,37,13,16,13,12,24,23,44,52,51,80,52,22,74,36,74,14,35,18,10,50,20,58,14,13,16,84,82,73,80,85,48
pedro rodriguez ledesma,84,29,169,65,4,82,77,77,85,37,62,78,81,55,83,70,84,81,57,70,87,84,80,84,84,82,71,67,78,56,78,56,49,84,77,66,78,30,32,31,5,11,12,15,9,0
kevin strootman,84,27,186,78,3,67,74,82,78,78,82,74,68,68,86,63,76,75,74,83,85,65,68,65,84,68,85,53,82,83,78,86,84,78,84,77,85,72,83,75,7,12,11,6,7,0
ander herrera aguera,84,27,182,70,3,73,72,81,83,78,77,74,71,60,86,69,81,80,65,80,86,76,70,84,85,82,72,63,87,70,72,86,86,78,84,79,84,80,78,76,9,12,15,9,8,0
shkodran mustafi,84,25,184,82,2,67,57,63,62,83,79,50,58,81,77,51,53,55,47,69,70,64,69,66,82,69,66,84,74,81,52,79,85,50,55,54,74,82,83,85,11,9,15,10,6,0
kostas manolas,84,26,189,83,2,80,19,42,60,86,83,27,10,80,60,16,54,30,10,61,65,78,81,68,81,60,43,86,78,84,12,86,85,25,22,26,75,88,86,87,8,6,8,15,12,0
jorge resurreccion,84,25,178,74,3,70,75,86,82,63,75,84,71,61,86,56,80,85,76,85,86,72,69,77,84,78,84,61,81,75,81,71,64,80,89,59,75,63,66,51,14,12,5,10,13,0
timo horn,84,24,192,90,1,0,0,0,0,0,0,19,13,14,35,14,20,12,15,32,22,45,51,50,81,31,22,64,31,67,17,41,22,15,55,21,20,11,13,12,83,81,83,82,86,48
kalidou koulibaly,84,26,195,89,2,73,26,43,56,85,86,30,19,79,59,14,54,28,28,48,59,69,76,50,80,40,55,77,73,93,15,87,86,24,34,33,78,85,87,85,7,11,7,13,5,0
alvaro borja morata martin,84,24,189,85,3,82,80,71,80,23,73,73,82,79,78,81,83,76,44,51,84,78,86,62,81,56,80,79,70,82,78,54,24,83,76,72,79,14,14,20,4,5,4,4,5,0
mauro icardi,84,24,181,75,3,78,83,61,75,26,70,46,89,84,73,81,74,58,45,54,77,75,80,74,83,76,81,92,70,74,70,55,22,89,64,78,82,17,21,21,13,9,5,7,9,0
julian draxler,84,23,187,72,4,78,80,82,86,34,64,83,78,65,84,84,88,78,75,77,87,76,79,81,83,75,86,76,68,67,81,48,36,79,84,63,81,25,35,26,11,13,5,13,8,0
daniel carvajal ramos,84,25,173,73,2,82,45,73,79,83,79,83,41,65,81,34,76,72,47,71,83,76,86,82,81,79,64,76,84,75,36,81,82,61,57,45,74,85,85,86,13,13,15,9,15,0
sadio mane,84,25,175,69,4,93,78,75,85,36,75,72,83,53,77,68,86,74,64,71,84,94,92,89,80,85,77,75,82,72,69,73,31,84,78,71,78,33,35,38,10,10,15,7,14,0
dele alli,84,21,188,80,4,76,81,77,82,64,78,68,84,75,83,76,83,71,53,76,85,77,76,74,85,62,77,69,89,71,79,84,67,86,83,68,86,60,63,57,7,6,9,11,8,0
aymeric laporte,84,23,189,85,2,69,50,66,61,86,78,58,45,85,73,40,55,62,77,78,71,68,70,49,82,55,70,77,71,84,47,72,85,54,52,35,74,86,88,85,10,11,5,14,5,0
bernardo mota carvalho e silva,84,22,173,64,4,81,72,81,90,45,61,79,76,51,84,66,91,79,63,78,89,85,78,88,84,86,72,53,80,54,64,58,49,77,85,64,84,46,44,35,9,10,14,12,9,0
marco asensio willemsen,84,21,180,75,4,78,82,83,83,39,61,79,82,50,86,75,83,83,76,81,86,79,77,78,78,76,84,57,73,61,87,45,45,72,83,62,82,29,42,39,13,9,6,12,10,0
eric bailly,84,23,187,77,2,78,42,59,65,84,84,51,33,81,72,42,63,46,43,56,68,75,80,63,78,63,55,84,78,85,48,87,85,47,54,46,74,82,85,85,14,14,10,9,8,0
iker casillas fernandez,83,36,185,84,1,0,0,0,0,0,0,13,12,25,21,14,25,25,13,22,23,59,57,62,77,46,28,77,43,70,13,23,22,16,65,24,70,11,11,13,86,74,58,80,85,58
yaya toure,83,34,189,90,3,63,82,80,76,70,83,67,82,72,84,68,78,82,86,81,82,61,64,58,82,56,86,63,73,92,80,78,60,80,85,89,83,68,77,74,13,14,6,12,8,0
ricardo andrade quaresma bernardo,83,33,175,67,5,83,76,81,88,18,60,88,70,41,79,80,89,92,78,75,87,85,82,91,78,84,83,63,69,54,83,62,24,75,80,74,79,10,17,13,12,14,10,5,15,0
jose manuel reina paez,83,34,188,92,1,0,0,0,0,0,0,11,14,13,19,11,10,11,11,22,23,50,63,50,82,60,24,73,34,72,15,32,22,13,65,24,60,12,22,24,80,83,82,82,82,57
daniele de rossi,83,33,184,83,2,68,64,73,70,81,82,57,50,81,82,74,64,62,71,82,78,69,68,68,80,72,81,78,78,83,74,84,87,55,72,75,84,75,84,82,10,7,13,10,9,0
