,Nation,overall,age,height_cm,weight_kg,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,Rank
0,Peru,69.57894737,25.78947368,177.9473684,73.21052632,2.684210526,72.35294118,55.94117647,61.29411765,66.82352941,52.17647059,62.41176471,56,47.94736842,57.05263158,61.68421053,49.05263158,60.84210526,52.47368421,51.21052632,56.73684211,61.52631579,69.73684211,70.15789474,68.63157895,63.68421053,72.26315789,59.31578947,66.42105263,63.68421053,59.10526316,53.84210526,56.21052632,46.94736842,53.10526316,55.52631579,51.78947368,58.57894737,46.05263158,49.10526316,46.42105263,18.36842105,17.52631579,16.31578947,17.78947368,16.73684211,50,11
0,Australia,71.17391304,26.60869565,181.3478261,76.39130435,2.391304348,72.7,59.55,62.05,66.1,55.25,70.85,53.34782609,51.82608696,54.73913043,61.7826087,47.34782609,58.43478261,52.91304348,44.73913043,56.08695652,60.86956522,70.30434783,69.73913043,63.73913043,66.39130435,66.65217391,60.56521739,68.52173913,67.86956522,71.73913043,53.65217391,63.04347826,50.60869565,53.95652174,60.08695652,55.2173913,63.13043478,47.86956522,50.91304348,48.39130435,19.04347826,18.7826087,19.47826087,19.34782609,19.73913043,52,38
0,Croatia,80,26.63157895,185.4736842,79.84210526,2.789473684,71.76470588,65.47058824,70.82352941,75,60.23529412,74.11764706,63.94736842,56.68421053,62.89473684,70.47368421,58.78947368,68.42105263,60.31578947,56.36842105,63.36842105,72.10526316,68,69.47368421,66.05263158,75.68421053,61.89473684,68.15789474,71.31578947,73.31578947,73.68421053,59.94736842,67.47368421,57.47368421,61.78947368,66.57894737,59.78947368,72.52631579,50,57.57894737,54.78947368,18.47368421,16.73684211,16.78947368,17.63157895,17.36842105,44,17
0,Argentina,81.2173913,28.17391304,179.5652174,76.30434783,2.956521739,76,67.95,73.1,76.6,55.9,72.45,63.86956522,58.17391304,58.95652174,71.17391304,56.17391304,66.7826087,64.43478261,58.13043478,67.04347826,72.47826087,72.26086957,71.30434783,73.60869565,78.08695652,71.13043478,68.86956522,70.08695652,72.86956522,70.17391304,62.08695652,66.26086957,51.7826087,61.52173913,69.08695652,55.2173913,74.65217391,46.04347826,51.7826087,49.39130435,18.60869565,18.60869565,17.52173913,19.56521739,19.65217391,43.33333333,4
0,Nigeria,72.85714286,23.71428571,181.6428571,76.42857143,2.714285714,79.42857143,54.5,58.78571429,67.71428571,56.64285714,70.71428571,57.21428571,49.85714286,62.35714286,65.21428571,48.64285714,65.64285714,52.07142857,44.21428571,57.21428571,68,79.07142857,80,71.85714286,71.07142857,70.21428571,65.42857143,71.35714286,74.57142857,71.85714286,54.35714286,62.78571429,55.85714286,58.07142857,56.07142857,52.78571429,65.5,54.35714286,57.57142857,55.78571429,10.28571429,10.5,11.78571429,11.57142857,12,45.25287356,51
0,Iceland,70.125,29.5,185.375,77.5,2.375,65.75,56.125,60.125,58.875,60.5,74.625,57.375,50,64.375,63.75,49.75,54.875,54.625,47.625,61.75,62.375,65.5,65.875,61,68,63.875,65.75,72,73.875,75.375,61.75,74.375,63.25,55.625,59.625,53,70.5,57.125,61.75,56.625,10.125,9.375,10.375,11.25,10.125,45.25287356,22
0,Brazil,80,29,186,86,4,67,73,80,82,66,70,79,65,57,81,77,85,80,75,81,84,66,67,66,83,66,81,49,71,78,81,53,70,75,81,68,68,67,68,59,6,11,16,15,8,45.25287356,2
0,Switzerland,76.9047619,25.42857143,184,80.19047619,2.333333333,69.72222222,60.33333333,68.11111111,70.38888889,65.22222222,74.77777778,59,48.66666667,59.14285714,66.80952381,51.28571429,61.38095238,55.80952381,51.76190476,64.0952381,66.42857143,65.61904762,67.0952381,66.61904762,74.71428571,63.47619048,63.57142857,70.04761905,70.19047619,75.0952381,54.28571429,67.28571429,60.42857143,57.95238095,63.80952381,55.04761905,69.23809524,54.80952381,59.38095238,57.19047619,21.19047619,20.19047619,19.14285714,19.42857143,21.23809524,47,8
0,Serbia,76.10526316,25.26315789,185.5789474,80.78947368,2.631578947,67,60.11111111,65.44444444,68.72222222,58.05555556,74.27777778,60.21052632,53.68421053,66.89473684,69.05263158,54.52631579,65,60,51.89473684,63.89473684,68.89473684,64.31578947,66.21052632,60.68421053,73.15789474,59.36842105,68.94736842,70.10526316,72.21052632,75.73684211,58.84210526,69.31578947,54.68421053,61.10526316,62.78947368,54.47368421,71.26315789,52.89473684,56.57894737,53.26315789,13.47368421,14.15789474,14.57894737,13.78947368,14.36842105,37,36
0,Costa Rica,73.25,28,181.5,75.5625,2.5625,71,56.46666667,63,67.53333333,59.53333333,71.2,56.4375,50.125,58.9375,65.625,50.0625,63.25,55.9375,49.9375,61.9375,65.4375,69.4375,70.4375,68.125,70.3125,66.125,64,71.9375,70.5,70.4375,52.9375,69.75,58.4375,57.75,60.875,53.1875,66.1875,55.8125,56.1875,54.25,15.5,15.0625,15.125,15.3125,16.5,53,26
0,Sweden,75.13043478,26.86956522,185.826087,78.91304348,2.260869565,65.25,61.9,66.4,68.9,57.55,74.4,54.17391304,51.08695652,56.04347826,66.73913043,52.17391304,60.95652174,57.7826087,52.08695652,61.56521739,64.69565217,61.04347826,63.82608696,64.26086957,73.13043478,56.91304348,65.95652174,66.56521739,71.95652174,73.7826087,57,67.82608696,53,54.73913043,62.26086957,54.73913043,67.86956522,49.13043478,53.30434783,49.86956522,18.34782609,17.82608696,18.73913043,19.17391304,18.86956522,45.66666667,18
0,Mexico,77.55,27.2,178.15,73.7,2.75,76.11111111,66,69.55555556,74.5,53.61111111,67.27777778,62.75,58.9,59.9,70.1,59.55,67.2,58.35,51.35,65,70.25,73.75,72.7,75.4,74.2,71.25,67.3,70.25,70.85,63.55,58.4,58.65,53.2,63.4,65.6,61.65,73.2,43.95,50.2,47.3,16.15,18.2,16.45,16.95,17.25,46.5,16
0,Korea Republic,71.75,26.7,181.25,74.75,2.55,70.22222222,58,64,64.77777778,54.16666667,69.72222222,56.85,50.3,54.85,63.25,48.3,57.15,54.95,49.1,58.5,60.55,69.25,66.8,71.85,69,66.75,59.2,71.95,71.4,68.85,56.25,57.75,49.85,55.25,62.7,52.9,61.75,48.9,50.95,47.75,17,16.8,16.65,17.3,17.4,47.5,60
0,Germany,83.72727273,25.68181818,186,81.63636364,2.545454545,73.63157895,67.47368421,75.21052632,75.52631579,62.05263158,72.31578947,65.18181818,56.31818182,62.68181818,74.36363636,58.22727273,66.90909091,61.86363636,54.59090909,68.77272727,72.86363636,68.63636364,72.04545455,66.22727273,82.72727273,61.31818182,69.81818182,67.95454545,70.09090909,74.81818182,61.22727273,61.86363636,59.40909091,61.45454545,71.45454545,57.18181818,75.63636364,51.22727273,55.13636364,53.86363636,20.90909091,20.31818182,20.95454545,20.68181818,21.09090909,51.33333333,1
0,Belgium,82.09090909,26.09090909,185.6818182,80.77272727,2.772727273,73.31578947,70.89473684,73.47368421,75.47368421,56.84210526,74.21052632,63.77272727,60.40909091,59.54545455,71.81818182,59.59090909,67.04545455,62.68181818,57.90909091,66.63636364,70.86363636,69.18181818,70.81818182,67.72727273,79.18181818,61.04545455,72.86363636,70.5,71,74.86363636,64.13636364,64.09090909,51.13636364,63.59090909,67.68181818,61.68181818,75.31818182,46.45454545,53.22727273,49.81818182,19.54545455,19.18181818,18.13636364,19.95454545,20.09090909,50,5
0,England,77.72,24.72,182.64,75.88,2.52,75.5,64.40909091,68.90909091,73.31818182,62.72727273,74.45454545,59.24,56.36,60.08,70.16,52.28,66.16,56.2,50.24,64.04,68.8,71.08,72.36,68.16,73.92,66.72,65.92,70.96,75.4,70.16,59.28,67.6,57.76,61.16,66.32,57.04,70.96,54.88,58.08,55.8,18.8,18.92,17.76,19.4,18.52,44,15
0,Tunisia,69.84615385,23.92307692,184.1538462,76,2.384615385,67.09090909,51.63636364,63.09090909,65.36363636,56.36363636,62.36363636,54.46153846,42,51,61.30769231,43.38461538,57.53846154,51.15384615,45.15384615,56.46153846,59.38461538,64.15384615,63.92307692,61.69230769,61.61538462,61.07692308,55.15384615,64,56.38461538,62.38461538,45.76923077,55.23076923,50.61538462,45.46153846,57.46153846,46.23076923,59.38461538,47.84615385,51.38461538,48,19.46153846,19.23076923,18.46153846,20.30769231,18.23076923,47.5,27
0,Panama,70.71428571,28,181.1428571,76.71428571,2.357142857,67.23076923,48.46153846,56.61538462,58.84615385,61,74.15384615,52.71428571,41.21428571,57.35714286,59.64285714,41.5,52.07142857,48.64285714,42.92857143,54.5,57.21428571,65.5,65,64,68.78571429,60.57142857,55.64285714,70.92857143,68.64285714,74.78571429,47,73.07142857,57.92857143,48,53.28571429,51.64285714,61.5,56.78571429,58.35714286,56.85714286,15.14285714,17.07142857,18.07142857,16,17.21428571,39,55
0,Colombia,77.72222222,26.83333333,179.8333333,75.33333333,2.722222222,76.0625,61.0625,66.5,72.25,57.8125,72.1875,58.88888889,51.77777778,60,66.83333333,47.77777778,64.94444444,54.55555556,49.72222222,62.33333333,68.22222222,71.27777778,72.5,71.33333333,72.77777778,66.61111111,67.55555556,73.22222222,71,69.16666667,55.83333333,64.05555556,57.27777778,57.22222222,62.5,56.33333333,66.22222222,47.72222222,54.27777778,50.05555556,19.22222222,16.83333333,17.5,16.5,18.72222222,39.5,13
0,Japan,73.91304348,27.26086957,178.7391304,71.47826087,2.434782609,75,55.8,65.35,71.5,57.8,65.25,54.04347826,46.60869565,54,65.39130435,48.04347826,62.17391304,53.65217391,48.08695652,60.34782609,65.30434783,71,68.73913043,72.52173913,71.69565217,71.47826087,58.08695652,71.65217391,70.60869565,61.43478261,49.95652174,55.73913043,52.69565217,54.47826087,58.69565217,50.17391304,65.04347826,49.47826087,53.04347826,50.43478261,18.34782609,17.65217391,17.7826087,16.56521739,18.26086957,34.33333333,57
0,Senegal,75.52631579,25.10526316,184.4210526,77.42105263,2.421052632,77.88235294,57.05882353,60.29411765,69.82352941,59.11764706,74.82352941,55.26315789,49.36842105,61.84210526,64.05263158,44.47368421,63.36842105,42.42105263,41.84210526,54.89473684,66.21052632,72.84210526,74.94736842,68.94736842,72.47368421,62.05263158,63.68421053,72.63157895,71.36842105,75.21052632,49.78947368,64.57894737,56.15789474,56.89473684,54.94736842,53.26315789,66.05263158,52.10526316,54.84210526,51.68421053,16.36842105,14.73684211,15.21052632,17.36842105,16.63157895,41.5,23
0,Poland,76.04347826,26.91304348,183.5652174,77.95652174,2.347826087,71.45,59.4,64.9,68.35,59.25,73.3,54.43478261,51.04347826,57.7826087,65,50.26086957,59.52173913,52.65217391,46.34782609,61.17391304,63.86956522,67.17391304,68.95652174,66.7826087,72.26086957,65.95652174,59.86956522,71.86956522,69.82608696,71.82608696,52.73913043,68,56.26086957,56.04347826,61.73913043,51.91304348,70.39130435,49.65217391,53.82608696,50.91304348,20.73913043,19.52173913,18.65217391,19,19.95652174,46.33333333,7
