Nation,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18,Player19,Player20,Player21,Player22,Player23,Player24,Player25,Player26
Germany,Manuel Neuer,Antonio Rudiger,David Raum,Matthias Ginter,Thilo Kehrer,Joshua Kimmich,Kai Havertz,Leon Goretzka,Niclas Fullkrug,Serge Gnabry,Mario Gotze,Kevin Trapp,Thomas Muller,Jamal Musiala,Niklas Sule,Lukas Klostermann,Julian Brandt,Jonas Hofmann,Leroy Sane,Christian Gunter,İlkay Gundogan,Marc-Andre ter Stegen,Nico Schlotterbeck,Karim Adeyemi,Armel Bella-Kotchap,Youssoufa Moukoko
Japan,Eiji Kawashima,Miki Yamane,Shogo Taniguchi,Ko Itakura,Yuto Nagatomo,Wataru Endo,Gaku Shibasaki,Ritsu Doan,Kaoru Mitoma,Takumi Minamino,Takefusa Kubo,Shuichi Gonda,Hidemasa Morita,Junya Ito,Daichi Kamada,Takehiro Tomiyasu,Ao Tanaka,Takuma Asano,Hiroki Sakai,Shuto Machino,Ayase Ueda,Maya Yoshida?,Daniel Schmidt,Yuki Soma,Daizen Maeda,Hiroki Ito
Spain,Robert Sanchez,Cesar Azpilicueta,Eric Garcia,Pau Torres,Sergio Busquets,Marcos Llorente,Alvaro Morata,Koke,Gavi,Marco Asensio,Ferran Torres,Nico Williams,David Raya,Alejandro Balde,Hugo Guillamon,Rodri,Yeremy Pino,Jordi Alba,Carlos Soler,Dani Carvajal,Dani Olmo,Pablo Sarabia,Unai Simon,Aymeric Laporte,Ansu Fati,Pedri
Belgium,Thibaut Courtois,Toby Alderweireld,Arthur Theate,Wout Faes,Jan Vertonghen,Axel Witsel,Kevin De Bruyne,Youri Tielemans,Romelu Lukaku,Eden Hazard?,Yannick Carrasco,Simon Mignolet,Koen Casteels,Dries Mertens,Thomas Meunier,Thorgan Hazard,Leandro Trossard,Amadou Onana,Leander Dendoncker,Hans Vanaken,Timothy Castagne,Charles De Ketelaere,Michy Batshuayi,Lois Openda,Jeremy Doku,Zeno Debast
Canada,Dayne St. Clair,Alistair Johnston,Sam Adekugbe,Kamal Miller,Steven Vitoria,Samuel Piette,Stephen Eustaquio,Liam Fraser,Lucas Cavallini,Junior Hoilett,Tajon Buchanan,Ike Ugbo,Atiba Hutchinson?,Mark-Anthony Kaye,Ismael Kone,James Pantemis,Cyle Larin,Milan Borjan,Alphonso Davies,Jonathan David,Jonathan Osorio,Richie Laryea,Liam Millar,David Wotherspoon,Derek Cornelius,Joel Waterman
Croatia,Dominik Livakovic,Josip Stanisic,Borna Barisic,Ivan Perisic,Martin Erlic,Dejan Lovren,Lovro Majer,Mateo Kovacic,Andrej Kramaric,Luka Modric,Marcelo Brozovic,Ivo Grbic,Nikola Vlasic,Marko Livaja,Mario Pasalic,Bruno Petkovic,Ante Budimir,Mislav Orsic,Borna Sosa,Josko Gvardiol,Domagoj Vida,Josip Juranovic,Ivica Ivusic,Josip Sutalo,Luka Sucic,Kristijan Jakic
Morocco,Yassine Bounou,Achraf Hakimi,Noussair Mazraoui,Sofyan Amrabat,Nayef Aguerd,Romain Saiss?,Hakim Ziyech,Azzedine Ounahi,Abderrazak Hamdallah,Anass Zaroury,Abdelhamid Sabiri,Munir Mohamedi,Ilias Chair,Zakaria Aboukhlal,Selim Amallah,Abde Ezzalzouli,Sofiane Boufal,Jawad El Yamiq,Youssef En-Nesyri,Achraf Dari,Walid Cheddira,Ahmed Reda Tagnaouti,Bilal El Khannous,Badr Benoun,Yahia Attiyat Allah,Yahya Jabrane
Brazil,Alisson,Danilo,Thiago Silva,Marquinhos,Casemiro,Alex Sandro,Lucas Paqueta,Fred,Richarlison,Neymar,Raphinha,Weverton,Dani Alves,Eder Militao,Fabinho,Alex Telles,Bruno Guimaraes,Gabriel Jesus,Antony,Vinicius Junior,Rodrygo,Everton Ribeiro,Ederson,Bremer,Pedro,Gabriel Martinelli
Cameroon,Simon Ngapandouetnbu,Jerome Ngom Mbekeli,Nicolas Nkoulou,Christopher Wooh,Gael Ondoua,Moumi Ngamaleu,Georges-Kevin Nkoudou,Andre-Frank Zambo Anguissa,Jean-Pierre Nsame,Vincent Aboubakar,Christian Bassogog,Karl Toko Ekambi,Eric Maxim Choupo-Moting,Samuel Gouet,Pierre Kunde,Devis Epassy,Olivier Mbaizo,Martin Hongla,Collins Fai,Bryan Mbeumo,Jean-Charles Castelletto,Olivier Ntcham,Andre Onana,Enzo Ebosse,Nouhou Tolo,Souaibou Marou
Serbia,Marko Dmitrovic,Strahinja Pavlovic,Strahinja Erakovic,Nikola Milenkovic,Milos Veljkovic,Nemanja Maksimovic,Nemanja Radonjic,Nemanja Gudelj,Aleksandar Mitrovic,Dusan Tadic,Luka Jovic,Predrag Rajkovic,Stefan Mitrovic,Andrija Zivkovic,Sraan Babic,Sasa Lukic,Filip Kostic,Dusan Vlahovic,Uros Racic,Sergej Milinkovic-Savic,Filip Duricic,Darko Lazovic,Vanja Milinkovic-Savic,Ivan Ilic,Filip Mladenovic,Marko Grujic
Switzerland,Yann Sommer,Edimilson Fernandes,Silvan Widmer,Nico Elvedi,Manuel Akanji,Denis Zakaria,Breel Embolo,Remo Freuler,Haris Seferovic,Granit Xhaka,Renato Steffen,Jonas Omlin,Ricardo Rodriguez,Michel Aebischer,Djibril Sow,Christian Fassnacht,Ruben Vargas,Eray Comert,Noah Okafor,Fabian Frei,Gregor Kobel,Fabian Schar,Xherdan Shaqiri,Philipp Kohn,Fabian Rieder,Ardon Jashari
Ghana,Lawrence Ati-Zigi,Tariq Lamptey,Denis Odoi,Mohammed Salisu,Thomas Partey,Elisha Owusu,Abdul Fatawu Issahaku,Daniel-Kofi Kyereh,Jordan Ayew,Andre Ayew,Osman Bukari,Ibrahim Danlad,Daniel Afriyie,Gideon Mensah,Joseph Aidoo,Abdul Manaf Nurudeen,Baba Rahman,Daniel Amartey,Inaki Williams,Mohammed Kudus,Salis Abdul Samed,Kamaldeen Sulemana,Alexander Djiku,Kamal Sowah,Antoine Semenyo,Alidu Seidu
Portugal,Rui Patricio,Diogo Dalot,Pepe,ruben santos gato alves dias,Raphael Guerreiro,Joao Palhinha,Cristiano Ronaldo,Bruno Fernandes,Andre Silva,Bernardo Silva,Joao Felix,Jose Sa,Danilo Pereira,William Carvalho,Rafael Leao,Vitinha,Joao Mario,Ruben Neves,Nuno Mendes,joao pedro cavaco cancelo,Ricardo Horta,Diogo Costa,Matheus Nunes,Antonio Silva,Otavio,Goncalo Ramos
Korea Republic,Seung-gyu Kim,Jong-gyu Yoon,Jin-su Kim,Min-jae Kim,Woo-young Jung,In-beom Hwang,Heung-min Son,Seung-ho Paik,Gue-sung Cho,Jae-sung Lee,Hee-chan Hwang,Bum-keun Song,Jun-ho Son,Chul Hong,Moon-hwan Kim,Ui-jo Hwang,Sang-ho Na,Kang-in Lee,Young-gwon Kim,Kyung-won Kwon,Hyeon-woo Jo,Chang-hoon Kwon,Tae-hwan Kim,Yu-min Cho,Woo-yeong Jeong,Min-kyu Song
Uruguay,Fernando Muslera,Jose Gimenez,Diego Godin,Ronald Araujo,Matias Vecino,Rodrigo Bentancur,Nicolas de la Cruz,Facundo Pellistri,Luis Suarez,Giorgian de Arrascaeta,Darwin Nunez,Sebastian Sosa,Guillermo Varela,Lucas Torreira,Federico Valverde,Mathías Olivera,Matias Vina,Maxi Gomez,Sebastian Coates,Facundo Torres,Edinson Cavani,Martin Caceres,Sergio Rochet,Agustin Canobbio,Manuel Ugarte,Jose Luis Rodriguez
